frequency,amplitude,linewidth,frequency_sd,amplitude_sd,linewidth_sd,height,AIC,n,l,tau,zeta
107.14975774741968,0.4311787864751291,0.005669408026016625,0.006088668873421287,0.13172315755960073,0.005040382964171669,10.438237759862494,11.631539554833578,,,1868.7022187943173,0.7562927162461984
107.3158543982762,0.7241758066873553,0.009405374220764857,0.005950286620957843,0.15719624861555098,0.005986616032377665,17.748517002935053,52.262015990469074,,,1888.5490087900532,0.7028556722659152
107.60903265350052,1.096654306629971,0.05687528577047425,0.016252082731871387,0.11747818650875312,0.018390471326136748,6.730789870215805,122.89393373580242,,,1926.5154552701426,0.6523320321321204
107.91302746429072,0.5660458725340703,0.0181885840790404,0.010067069517018254,0.11992267195649005,0.012409318088262249,5.607309025700438,19.288409974851675,,,1965.3122326846021,0.7121576663847521
108.27327164978122,0.4492650019019598,0.01647972527841157,0.010606415199245066,0.10715936834192548,0.011712210125153208,3.898569993130328,11.074615702138543,,,2005.4107564320266,0.8216792050132032
111.14391437084689,1.5752306274826318,0.106236257050927,0.02120942728965969,0.11623584325835107,0.02310476005479144,7.43473786582143,282.1223957063303,8.0,2.0,2258.246706072646,0.9811826085967378
112.62063521328493,1.9986890593125883,0.06131306338885219,0.012322940573327806,0.16052421189025254,0.014010044092860116,20.73898905006801,612.9846911260793,9.0,0.0,2378.1604158693476,0.9851482806922138
116.05691544628851,0.5661883236772298,,0.00184119391609115,0.2637416588799937,,12.964016512520145,15.086984856039633,,,2646.5281473175223,0.9617398384191953
116.28854062791555,0.3023165368186463,0.003935522264846725,0.0039389252434962685,0.10328172548918696,0.004211609609584096,7.392163454143398,9.398572795926157,,,2664.4349072871296,0.954910691149815
116.52560532129057,0.7070888531883895,,0.001210315946075686,0.23175316384314945,,20.219282480132748,32.09511175602893,,,2682.8433747971035,0.9455340916105028
117.07896954203993,0.3318551285800294,0.003935522264846725,0.003969187030104621,0.13405914300251584,0.00539773741119196,8.90727418543384,7.194518720814812,,,2726.533869326139,0.9065905479281201
117.51891432291596,0.7570675138528515,0.003935522264846725,0.0025453965067016447,0.2482075578451051,0.003233260290350057,46.35717637860606,81.43605005004065,,,2763.0307766633227,0.8394418639301424
117.97306449266794,1.070569213550854,0.02532088255672127,0.009955186798692171,0.15728577659877907,0.010830059675530024,14.407903424832853,75.49879154185328,,,2805.2787168514974,0.7060006154314965
118.13858848045165,1.5224161143068702,0.022544260730871003,0.007961336656430167,0.2099431435297265,0.009300491477171793,32.72509177158792,171.34518127431508,,,2822.848729348522,0.6506308399421457
118.28256839020409,1.195559696391444,0.02277916399076897,0.008590042917970006,0.17962040873697532,0.011242087684671477,19.973532395393786,88.19430338931852,,,2839.1720608297032,0.6174305948396137
118.6418201649708,1.3220807972038071,0.018775211508244603,0.006592578301347716,0.18903797539550016,0.007934341357066447,29.63338638298655,226.71279066503845,,,2880.329982693228,0.6546892757101797
118.81333819320083,0.7209477663525309,0.004730632170676508,0.0035503967889697545,0.2013066044162353,0.003642166829467161,34.973455777076204,52.99200580422985,,,2898.117701547275,0.712754993083699
118.99594926092259,1.1361208558744855,0.006047935481985629,0.003359607144437549,0.26547137016430816,0.003897644783260956,67.93475951083943,204.7003407864977,,,2915.459604223826,0.7735759459069759
119.53959124248541,0.5634144563224597,0.0056739435083317784,0.004035912299149486,0.15223877423330298,0.0041880180514744965,17.808243773712356,38.705572851795296,,,2961.0310767725696,0.8885789654699575
119.75807265735209,0.5565900857475264,0.003935522264846725,0.0030390204175352264,0.14367491490759934,0.002387167962505011,25.05640072052969,61.19492710539272,,,2977.9534811075223,0.912835848257513
119.99133781794404,0.4887482031628368,0.003935522264846725,0.002641757403022809,0.15403153303257056,0.0039839203865498106,19.320488418887027,37.551156004374214,,,2995.5447525199447,0.9309796382622636
120.61745528132201,0.8922582030321498,,0.0012943393754051282,0.387185552609672,,32.19577299666242,46.354031723352826,,,3041.247502880811,0.9581058113631687
121.08814997038712,1.0613480232250232,,0.0009757108968644377,0.4887228869984754,,45.554720738589275,77.61243707661923,,,3074.6867863452994,0.9682482589592282
121.74932728962912,1.0029707261535508,,0.0013896227126569468,0.5233622225097712,,40.681248484402495,32.99859064418706,,,3120.7951788501437,0.9760362322296307
122.22279261366785,2.7874581674592807,0.07594900364228352,0.0131641528239714,0.19329888496253472,0.013902436847988404,32.56452617447505,1227.3593339210565,9.0,2.0,3153.335336788479,0.9791433496017158
122.92475753110551,0.45286039770494496,0.003935522264846725,0.003078896328114418,0.15840168839278726,0.005379888047336161,16.587328316787204,13.734673806808136,,,3200.9805827142864,0.9816269925295592
123.62547923884682,4.190638211497763,0.03079986216809515,0.007005785397204385,0.4278073286565874,0.007265555099139797,181.49375736942883,3409.602257463579,10.0,0.0,3247.9258261983714,0.9824314795610805
125.33267367991043,0.5908608730989876,0.005222125349864652,0.003767248950746164,0.16459492939007928,0.0037119008692019172,21.280082083271626,41.93916684569922,,,3360.2227695972315,0.978011611622819
125.56464436914352,0.7048859556317173,,0.0013306316539227851,0.32192045689714915,,20.093494539319057,13.164302219312955,,,3375.3056832990947,0.976409150156714
125.80245405667766,1.0867059665688148,0.01001109688562836,0.0051632984212591215,0.2173696304028928,0.005759944613982316,37.548497723504745,45.775792041040404,,,3390.739275392806,0.9743656750248156
125.86803234830109,1.0106811130407778,0.030576943476638363,0.014568051407334075,0.16011793340691327,0.01406402336958716,10.633698850328011,44.599042304787865,,3.0,3394.9910129544955,0.973718069153722
126.55945648396788,0.520758974068057,0.005289970531082392,0.00423357356934885,0.14319355271751655,0.0038731366251031686,16.318130428860904,32.768787907876685,,,3439.7710833891933,0.9637135937189019
126.7989234530912,0.4994608351292064,0.003935522264846725,0.0020912075724942745,0.1396249656719008,0.004013612296025521,20.176722992741645,56.14514038534618,,,3455.2979237697837,0.958242381629307
127.03282992128794,0.6652740943364944,0.003935522264846725,0.002453967125880496,0.1879177466664185,0.0041802282616286825,35.7971934287318,90.8529492489215,,,3470.5058609042194,0.9512899150913415
127.79546152952395,0.7290599234965095,0.011567004144324796,0.0064952882001574645,0.14222351909219594,0.006471591974205991,14.62701435040983,65.61172462279501,,,3520.874702567514,0.9072138883362916
128.01749088434173,0.6901559840268631,,0.0017774032795135422,0.3162278258674369,,19.262483234690357,12.642812898702688,,,3536.0371208963006,0.882394520048268
128.23073195269538,0.9833734354767092,0.00802934633450663,0.003993649908677414,0.2103713016159949,0.005197681994803425,38.336007448905846,144.29558577030545,,,3551.038554421667,0.8488882992568022
128.63264060757942,0.5789659853749975,0.04203875280892398,0.02682404231812496,0.14405125959812412,0.03331361122920188,2.538086406124703,10.634583507515343,,,3581.4708383713723,0.7466771768126015
128.72306261278936,0.5597742567671848,,0.002318208887692691,0.328951165182731,,12.671954413796461,4.116522776726924,,,3588.951736163442,0.7156418846391668
128.87210822554263,1.5146089294404683,0.012791605117086092,0.0052804138458466795,0.2559931358681206,0.006120472784708015,57.085539397810145,221.3913522100156,,,3602.036412935074,0.6608711565549917
129.033240522724,1.5751337533187109,0.013924072304842206,0.005961056981930821,0.2635673662629982,0.006413157668180657,56.717715987160595,164.66922518720818,,,3617.400218188836,0.6059495950470429
