time,time_raw,flux
54955.7256583,54955.7256583,-156.77419637298468
54955.746093,54955.746093,-229.2117430224075
54955.7665276,54955.7665276,-252.91021055381736
54955.7869621,54955.7869621,-118.58963395817143
54955.8073967,54955.8073967,-133.79049896877345
54955.8278314,54955.8278314,-25.430741294883177
54955.848266,54955.848266,17.04571226826729
54955.8687006,54955.8687006,-34.27630578879757
54955.8891352,54955.8891352,-200.31167702993176
54955.9095698,54955.9095698,-267.69195906391485
54955.9300044,54955.9300044,-188.81601629395678
54955.9504389,54955.9504389,-61.36172949751062
54955.9708736,54955.9708736,-12.378429797368202
54955.9913082,54955.9913082,59.81779242448487
54956.0117427,54956.0117427,350.98559321195836
54956.0321774,54956.0321774,440.4506913494238
54956.052612,54956.052612,530.2358175797851
54956.0730466,54956.0730466,633.1027399688105
54956.0934811,54956.0934811,565.1528944299291
54956.1139158,54956.1139158,442.44573633670626
54956.1343504,54956.1343504,75.78944727495593
54956.1547849,54956.1547849,-173.25777374608964
54956.1752196,54956.1752196,-190.91938854634833
54956.1956542,54956.1956542,-37.70787189103917
54956.2160887,54956.2160887,99.784694380758
54956.2365233,54956.2365233,343.3742997599608
54956.256958,54956.256958,381.3452279315223
54956.2773925,54956.2773925,312.3362411288978
54956.2978261,54956.2978261,386.6806450193105
54956.3182618,54956.3182618,461.0257429910334
54956.3386963,54956.3386963,590.7106292383955
54956.3591309,54956.3591309,787.7661419867395
54956.3795655,54956.3795655,1004.0001222743056
54956.4000002,54956.4000002,808.8970614297656
54956.4204347,54956.4204347,544.8618553624368
54956.4408693,54956.4408693,219.73149839549097
54956.461304,54956.461304,-9.786364015013275
54956.4817384,54956.4817384,-13.191108973103654
54956.502173,54956.502173,261.5163219938984
54956.5226075,54956.5226075,296.0459383173087
54956.5430422,54956.5430422,84.73125995553461
54956.5634768,54956.5634768,-240.3578995952924
54956.5839114,54956.5839114,-233.81172277071875
54956.604346,54956.604346,96.78886709618475
54956.6247806,54956.6247806,325.91788094655686
54956.6452152,54956.6452152,351.19542566361207
54956.6656497,54956.6656497,101.14280552838639
54956.6860844,54956.6860844,-388.09138053990125
54956.706519,54956.706519,-786.0735095847452
54956.7269535,54956.7269535,-855.1634148495816
54956.7473882,54956.7473882,-626.4241375995699
54956.7678228,54956.7678228,-382.534222379946
54956.7882573,54956.7882573,-181.9940226216913
54956.8086919,54956.8086919,-345.67674032702615
54956.8291266,54956.8291266,-707.9771850408761
54956.8495611,54956.8495611,-939.9363915555783
54956.8699957,54956.8699957,-939.4699267472815
54956.8904304,54956.8904304,-758.3030505255662
54956.910865,54956.910865,-352.26015663772034
54956.9312995,54956.9312995,380.8561706319883
54956.9517341,54956.9517341,578.675974993017
54956.9721688,54956.9721688,551.2313455923678
54956.9926033,54956.9926033,258.5862315989941
54957.0130379,54957.0130379,-55.038175572074564
54957.0334726,54957.0334726,-669.0135829049161
54957.0539071,54957.0539071,-532.2834579594762
54957.0743416,54957.0743416,-162.79274493028316
54957.0947762,54957.0947762,168.06086651942772
54957.1152108,54957.1152108,641.2493864345965
54957.1356454,54957.1356454,855.7162893286327
54957.15608,54957.15608,647.1698998482577
54957.1765147,54957.1765147,192.0265961980711
54957.1969492,54957.1969492,18.12061180630331
54957.2173838,54957.2173838,-83.7272518674309
54957.2378184,54957.2378184,-134.64608786798044
54957.258253,54957.258253,-95.8906890827182
